trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.95, 'e': 0.95}",20,0,-99.69799201741218,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.95, 'e': 0.8999999999999999}",20,0,-233.8632235686099,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 5}",0
3,False,"{'a': 0.95, 'e': 0.8499999999999999}",25,1,-12.85395698252513,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 0.95, 'e': 0.7999999999999998}",30,0,-161.282779183261,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
5,False,"{'a': 0.95, 'e': 0.7499999999999998}",20,3,-35.971060390703464,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 0}",1
6,False,"{'a': 0.95, 'e': 0.6999999999999997}",30,18,-33.94984383551131,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
7,False,"{'a': 0.95, 'e': 0.6499999999999997}",25,0,-138.7672319912027,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
8,False,"{'a': 0.95, 'e': 0.5999999999999996}",20,0,-56.53927713257533,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.95, 'e': 0.5499999999999996}",20,0,-42.31302120256691,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.95, 'e': 0.4999999999999996}",25,0,-51.15676324330593,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
11,False,"{'a': 0.95, 'e': 0.4499999999999996}",25,10,-34.69317705959875,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 0}",1
12,False,"{'a': 0.95, 'e': 0.39999999999999963}",25,0,-68.3490506897228,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
13,False,"{'a': 0.95, 'e': 0.34999999999999964}",25,3,-7.8240060665634115,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.95, 'e': 0.29999999999999966}",25,0,5.381610353083758,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.95, 'e': 0.24999999999999967}",20,0,-53.17977123167448,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
16,False,"{'a': 0.95, 'e': 0.19999999999999968}",20,7,20.72302313055883,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.95, 'e': 0.1499999999999997}",25,20,7.169744880165356,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.95, 'e': 0.09999999999999969}",30,11,-58.075240171832256,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 2}",1
19,False,"{'a': 0.95, 'e': 0.049999999999999684}",25,8,18.198054759120595,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.95, 'e': -3.191891195797325e-16}",20,0,19.79628084863725,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,9,19.218998669137605,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,-20.41019447164522,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,27.082565388168497,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,7,26.093540469056595,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,-15.929417447650058,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,3,4.16834477047713,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,16,8.633969700407583,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,14,12.054190058633434,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,-8.374920786747289,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,19,10.53455764466608,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
